"Namespace(convex=False, dataset='FashionMNIST', gamma=1.5, no_cuda=False, pollute_rate=0.5, rho=1.0, seed=0, x_loop=500, x_lr=0.5, y_loop=1, y_lr=0.5)"
,acc,F1 score,total_hyper_time,total_time,Val loss,Val acc,p,r
190,83.21,88.25267692947823,0.2410588264465332,1.202817678451538,0.9482085704803467,84.16,81.9835263901248,95.56,0.4723665527410147
200,82.95,88.38411687704466,0.25498056411743164,1.2629685401916504,1.0130770206451416,84.0,82.09262294866856,95.72,0.4723665527410147
210,83.25,88.51550828696473,0.27094340324401855,1.326836109161377,0.9293808341026306,84.98,82.20164468104174,95.88,0.4723665527410147
220,81.72,88.6712239653572,0.2852025032043457,1.3874309062957764,1.0394012928009033,83.5,82.41154100976397,95.96000000000001,0.4723665527410147
230,84.07,88.66703510401395,0.29709601402282715,1.4452781677246094,0.9439764618873596,85.84,82.43382464018865,95.92,0.4723665527410147
240,82.80999999999999,88.68343063558044,0.3113696575164795,1.508908748626709,0.9753065705299377,85.11999999999999,82.46217189714284,95.92,0.4723665527410147
250,82.69999999999999,88.68343063558044,0.3253631591796875,1.5687427520751953,0.9394028186798096,84.42,82.46217189714284,95.92,0.4723665527410147
260,83.55,88.93002459597493,0.3395681381225586,1.6301963329315186,0.9507007598876953,86.3,82.77050167521533,96.08,0.4723665527410147
270,82.71,89.05352710919934,0.3546786308288574,1.6926994323730469,0.9348912835121155,84.76,82.92514517203958,96.16,0.4723665527410147
280,84.28999999999999,89.02077019050644,0.3687775135040283,1.7555983066558838,0.9129593968391418,86.48,82.98755043244206,96.0,0.4723665527410147
290,84.37,89.16109741312461,0.3833494186401367,1.8158776760101318,0.9207862019538879,87.0,83.17174371240054,96.08,0.4723665527410147
300,83.36,89.30163314573035,0.3962395191192627,1.8770349025726318,0.9280298948287964,86.53999999999999,83.35644793071346,96.16,0.4723665527410147
310,83.84,89.28106870854019,0.40829014778137207,1.9360835552215576,0.8961451053619385,86.74,83.35067493321758,96.12,0.4723665527410147
320,83.95,89.31822271153892,0.42119884490966797,1.9959943294525146,0.9026975631713867,86.22,83.38536102349356,96.16,0.4723665527410147
330,84.54,89.42575596574996,0.43423962593078613,2.0562124252319336,0.8808180689811707,86.94,83.51266776270968,96.24000000000001,0.4723665527410147
340,83.46000000000001,89.5255800649865,0.44800353050231934,2.1168031692504883,0.9285853505134583,86.98,83.68695506631383,96.24000000000001,0.4723665527410147
350,84.42,89.57169326800037,0.4612562656402588,2.1797749996185303,0.8927826285362244,88.14,83.79790794777163,96.2,0.4723665527410147
360,84.84,89.58837639202113,0.4725368022918701,2.2368075847625732,0.8662338852882385,87.9,83.82711600161873,96.2,0.4723665527410147
370,84.87,89.621761290844,0.4825267791748047,2.293215274810791,0.8626680374145508,87.94,83.88559323534018,96.2,0.4723665527410147
380,84.57000000000001,89.63459971077936,0.4971449375152588,2.352222204208374,0.88852459192276,88.06,83.93854602062594,96.16,0.4723665527410147
390,84.15,89.66417777031356,0.5083370208740234,2.4158473014831543,0.9087469577789307,87.94,84.02097755208081,96.12,0.4723665527410147
400,84.66,89.73497440205513,0.523195743560791,2.4773428440093994,0.8855792880058289,88.8,84.114764098762,96.16,0.4723665527410147
410,83.42,89.83937109501952,0.5373728275299072,2.538926601409912,0.8531809449195862,86.7,84.26769298760173,96.2,0.4723665527410147
420,84.37,89.85615408973126,0.55145263671875,2.598026990890503,0.9146314263343811,88.4,84.29722950758448,96.2,0.4723665527410147
430,84.97,89.82797173633577,0.563610315322876,2.656977415084839,0.8743266463279724,88.46000000000001,84.33988615976322,96.08,0.4723665527410147
440,84.69,89.87838968095691,0.5749771595001221,2.7142763137817383,0.8627426624298096,88.74,84.42882101179576,96.08,0.4723665527410147
